track_id,cluster_kmeans
4DrUjTGCmZHbeAnRCFX5QM,0
6N8VWb3F4GPP3pwj1jaDNU,0
2VjHiLZGii5ReGMNtF6ciS,0
2QG6VgmvMV7mYPME1evMeC,0
75JsIen4AneIFiDf9hbepF,0
0Z69ApbtywTclF3B6bXDKJ,0
2ibLngG6Pl2imDQhw5B5Nq,0
2EC3iF2tFASdZS2sRBVD3D,0
1nxuvJmzzN7sHU20tdybtM,0
26pWBacUgk8YW9Y3tMa216,0
4LERmde6QbVPUrJ6pOGzbj,0
0E6vWWwX6Hg6T67KbHBW13,0
1nIfBoXpIC8adLwnPbP5L1,0
0hwDwlCmZeL51EclXil24S,0
34Cc71Twm8s2IICmiIdWPR,0
7bmdCzMO7PQWwgSB7npXc5,0
7e12uWXjq3zTtB6baTACgb,0
6L4QsodRSxp79s1jwKIjw1,0
3rcF0XkgqxqSi8O1cZixek,0
6U7DCvIA93YYzyFYwmiIIe,0
4a0hluoQQqJyyq7o6wviQ2,0
2lF9Y4MVoRcZM8TTTcq8Vy,0
0WR1IwdoZvOe9eyvIiOsxN,0
1jny0xjkmeZiS2CvuJLuRX,0
3IAOnemu8O4r2OUwKALsp6,0
04YMLAsyIAe1sLb6RO5YcC,0
3HTwXJ9lOWEQHqpXa6XBJ0,0
3fajzhEHSdlSmY31dORz9M,0
792FHkvZbBQuWWM1a4TfL8,0
6Njoyu4X5lMORCxImcam1K,0
5TRueIWflmHqxe997vpwJY,0
3yDvu7hXpkWFyQSk3RSiD8,0
6PtvYwIwjxzdiGp75CpSEq,0
4QT5M24iwORnhXx6oQ4Ksb,0
2q0SOAtujlcW1OQWYGGpyK,0
4VtUKIoFUZBPjlC8LTutWL,0
38MltIuVQE5LeWoSCV7Wxz,0
2rIxyPWrqHUnZVVYQ1o2pn,0
2rNqKSbPV283cPSS8uePpT,0
7jK1u0cB8KMCFQEkLqPjnu,0
6eI8B3QW20P68MCYMb4Etd,0
2XMXsM29VG71gcKokMtsK5,0
7MrrdjBGM0MI6PGTZIgO9g,0
6Tsi8WlS6AI4tLRV2ei4LV,0
3W1FAAdNDVdyJxJwV8Lps2,0
2RnBxdoRGOBzy2yvThWtMe,0
0zbnSb9ifMWivpl5pfHH70,0
3CVQG2E6CL91pTeggbJOSj,0
0WqHYUiGuqkC7koA2l5Ou1,0
1Ip5p31SowqjJLo2ss1afJ,0
3dsq3O05IgBDjov5FXOrH9,0
31TRokpfafCscZwykk36VZ,0
2RkZ5LkEzeHGRsmDqKwmaJ,0
